transaction_status,dollarsobligated,maj_fund_agency_cat,contractingofficeid,fundingrequestingofficeid,fundedbyforeignentity,signeddate,effectivedate,currentcompletiondate,ultimatecompletiondate,lastdatetoorder,descriptionofcontractrequirement,vendorname,vendoralternatename,streetaddress,streetaddress2,streetaddress3,city,state,zipcode,vendorcountrycode,vendor_state_code,congressionaldistrict,dunsnumber,parentdunsnumber,phoneno,faxno,registrationdate,renewaldate,mod_parent,statecode,placeofperformancecity,pop_state_code,placeofperformancecountrycode,placeofperformancezipcode,pop_cd,placeofperformancecongressionaldistrict,productorservicecode,fiscal_year,extentcompeted,reasonnotcompeted,numberofoffersreceived,solicitationprocedures,typeofsetaside,localareasetaside,numberofemployees,annualrevenue,issbacertifiedsmalldisadvantagedbusiness,educationalinstitutionflag,womenownedflag,veteranownedflag,minorityownedbusinessflag,tribalgovernmentflag,ishispanicservicinginstitution,iswomenownedsmallbusiness,isecondisadvwomenownedsmallbusiness,isjointventurewomenownedsmallbusiness,isjointventureecondisadvwomenownedsmallbusiness,walshhealyact,servicecontractact,davisbaconact,clingercohenact,last_modified_date
Active,0,"6900: TRANSPORTATION, DEPARTMENT OF",00070: WESTERN FEDERAL LANDS HIGHWAY DIVISION,00070: WESTERN FEDERAL LANDS HIGHWAY DIVISION,,10/3/2014,10/3/2014,9/25/2015,9/25/2015,,"IGF::CT::IGF WY PLD GRTE 700(2) GRAND TETON PARK PATHWAYS, PHASE III","SKANSKA USA CIVIL WEST ROCKY MOUNTAIN DISTRICT, INC.",SKANSKA ROCKY MOUNTAIN DISTRICT,22419 COUNTY RD G,,,CORTEZ,CO,813219592,UNITED STATES,CO,3,9793613,353937956,9705658000,9705650188,03/08/2002,11/11/2014,SKANSKA AB,WY: WYOMING,MOOSE,WY: WYOMING,USA: UNITED STATES,830120170,WY00,WY00,"Y1LB: CONSTRUCTION OF HIGHWAYS, ROADS, STREETS, BRIDGES, AND RAILWAYS",2015,A: FULL AND OPEN COMPETITION,,5,MAFO: SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NONE: NO SET ASIDE USED.,N,58000,22000001024,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,X,Y,N,10/8/2014
Active,13920,"1200: AGRICULTURE, DEPARTMENT OF",6395: USDA APHIS MRPBS,82VU: APHIS-WS,,10/1/2014,10/1/2014,9/30/2015,9/30/2015,,IGF::OT::IGF  CSU POLICE CONTRACT RENEWAL OPTION YEAR 4: AG-6395-C-12-0062 FOR THE PERIOD 10/01/2014 - 09/30/2015,COLORADO STATE UNIVERSITY,,6003 CAMPUS DELIVERY,,,FORT COLLINS,CO,805236003,UNITED STATES,CO,2,69712792,948905492,9704917131,9704913815,12/13/2001,01/18/2013,COLORADO STATE UNIVERSITY SYSTEM,CO: COLORADO,FORT COLLINS,CO: COLORADO,USA: UNITED STATES,805211000,CO02,CO02,S206: HOUSEKEEPING- GUARD,2015,C: NOT COMPETED,ONE: ONLY ONE SOURCE - OTHER ,1,SSS: ONLY ONE SOURCE,NONE: NO SET ASIDE USED.,N,7037,839926976,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,X,X,N,10/7/2014
Active,-916.56,"3600: VETERANS AFFAIRS, DEPARTMENT OF",00248: 248-NETWORK CONTRACT OFFICE 8,00675: 675-ORLANDO,,11/3/2014,10/31/2014,11/30/2014,12/31/2014,,OR HARMONY LIGHT,BUFFALO SUPPLY INC,,1650 COAL CREEK DR STE A,,,LAFAYETTE,CO,800268867,UNITED STATES,CO,2,109070714,109070714,3036666333,3036668518,04/09/2002,04/22/2011,BUFFALO SUPPLY INC,FL: FLORIDA,ORLANDO,FL: FLORIDA,USA: UNITED STATES,328038208,FL07,FL07,"6515: MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",2015,A: FULL AND OPEN COMPETITION,,1,MAFO: SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,SBA: SMALL BUSINESS SET ASIDE - TOTAL,N,15,65000000,N,N,Y,N,N,N,N,N,N,N,N,X: Not Applicable,X,X,N,11/3/2014
Active,0,"7000: HOMELAND SECURITY, DEPARTMENT OF",00047: FDCC,00047: FDCC,,10/16/2014,10/16/2014,10/31/2014,10/31/2014,,IGF::OT::IGF 3581286;MAINTENANCE DREDGING 2013;CMS-1369,"DWG & ASSOCIATES, INC.",,2270 LA MONTANA WAY STE 100,,,COLORADO SPRINGS,CO,809186735,UNITED STATES,CO,5,956520274,956520274,7192656670,7192656672,08/18/2003,03/17/2011,DWG & ASSOCIATES  INC.,NJ: NEW JERSEY,CAPE MAY,NJ: NEW JERSEY,USA: UNITED STATES,82040001,NJ02,NJ02,Z1KF: MAINTENANCE OF DREDGING FACILITIES,2015,D: FULL AND OPEN COMPETITION AFTER EXCLUSION OF SO,,3,MAFO: SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,SDVOSBC: SERVICE DISABLED VETERAN OWNED SMALL BUSINESS SET-ASIDE,N,118,23231708,N,N,N,Y,Y,N,N,N,N,N,N,X: Not Applicable,X,Y,N,10/16/2014
Active,0,"6900: TRANSPORTATION, DEPARTMENT OF",00068: CENTRAL FEDERAL LANDS HIGHWAY DIVISION,00068: CENTRAL FEDERAL LANDS HIGHWAY DIVISION,,10/29/2014,10/29/2014,2/26/2015,2/26/2015,,IGF::CT::IGF CO FTNP ROMO PRES 1(15) ROCKY MOUNTAIN NP PAVEMENT PRES  DTFH68-14-00010-0007 MOD 0001 PAVEMENT PRESERVATION,JACOBS ENGINEERING GROUP INC.,,707 17TH ST STE 2300,,,DENVER,CO,802023404,UNITED STATES,CO,1,829578272,74103508,3143354144,3143355137,02/16/2009,07/05/2014,JACOBS ENGINEERING GROUP INC.,CO: COLORADO,DENVER,CO: COLORADO,USA: UNITED STATES,802023404,CO01,CO01,"C211: ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",2015,A: FULL AND OPEN COMPETITION,,1,MAFO: SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NONE: NO SET ASIDE USED.,N,48600,10396986368,N,N,N,N,N,N,N,N,N,N,N,N: No,N,N,N,11/3/2014
Active,3000,"1400: INTERIOR, DEPARTMENT OF THE",00006: FLAGSTAFF SCIENCE CENTER,00006: FLAGSTAFF SCIENCE CENTER,,11/20/2014,11/20/2014,10/1/2018,10/1/2018,,"""OTHER FUNCTION"" - IGF::OT::IGF CASSINI ARCHIVE DATA&INTERFACE SERVICES","HALEY, LESLIE PIERI",,328 HEATHER LN,,,HOWARD,CO,812339616,UNITED STATES,CO,5,830540857,830540857,9285567053,9285567014,05/22/2009,11/14/2015,HALEY  LESLIE PIERI,CO: COLORADO,COTOPAXI,CO: COLORADO,USA: UNITED STATES,812239616,CO05,CO05,R425: SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,2015,G: NOT COMPETED UNDER SAP,SP2: SAP NON-COMPETITION,1,SP1: SIMPLIFIED ACQUISITION,NONE: NO SET ASIDE USED.,N,1,1,N,N,Y,N,N,N,N,N,N,N,N,X: Not Applicable,X,X,N,11/21/2014
Active,28957.5,"1200: AGRICULTURE, DEPARTMENT OF",82BH: PIKE & SAN ISABEL NATIONAL  FOREST,82BH: PIKE & SAN ISABEL NATIONAL  FOREST,,11/3/2014,11/3/2014,9/30/2015,9/30/2016,,IGF::OT::IGF OTHER FUNCTIONS WILKERSON CLEANING SERVICES,J&N SERVICES LLC,,1811 MADDEES WAY,,,COLORADO SPRINGS,CO,809519750,UNITED STATES,CO,5,78564782,78564782,7192350294,7194807262,01/01/2013,03/10/2014,J&N SERVICES LLC,CO: COLORADO,HARTSEL,CO: COLORADO,USA: UNITED STATES,804490001,CO05,CO05,S201: HOUSEKEEPING- CUSTODIAL JANITORIAL,2015,F: COMPETED UNDER SAP,,1,SP1: SIMPLIFIED ACQUISITION,SBA: SMALL BUSINESS SET ASIDE - TOTAL,N,10,50000,Y,N,N,Y,Y,N,N,N,N,N,N,N: No,Y,N,N,11/3/2014
Active,7300,"1500: JUSTICE, DEPARTMENT OF","40606: FLORENCE, ADX","40606: FLORENCE, ADX",,11/24/2014,11/24/2014,9/30/2015,9/30/2015,,IGF::OT::IGF FCC FLORENCE FOOD SERVICE HOOD CLEANING.,FIVE STAR SAFETY CLEAN LLC,FIVE STAR HOOD CLEAN,3307 N. ACADEMY BLVD,,,COLORADO SPRINGS,CO,809175103,UNITED STATES,CO,5,78678352,78678352,7193759942,7195976417,11/19/2012,06/23/2015,FIVE STAR SAFETY CLEAN LLC,CO: COLORADO,COLORADO SPRINGS,CO: COLORADO,USA: UNITED STATES,809175103,CO05,CO05,J073: MAINT/REPAIR/REBUILD OF EQUIPMENT- FOOD PREPARATION AND SERVING EQUIPMENT,2015,F: COMPETED UNDER SAP,,3,SP1: SIMPLIFIED ACQUISITION,SBA: SMALL BUSINESS SET ASIDE - TOTAL,N,4,300000,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,X,X,N,11/24/2014
Active,1264.12,"1500: JUSTICE, DEPARTMENT OF","40303: ENGLEWOOD, FCI","40303: ENGLEWOOD, FCI",,10/23/2014,10/23/2014,11/23/2014,11/23/2014,,IGF::OTF::IGF OTHER FUNCTIONS 151060 BAKED GOODS FOR FCC FLORENCE&FCI ENGLEWOOD - BASE YEAR ONLY. MOD 001 DELETE THE ITEMIZED LINE PERIOD OF PERFORMANCE.,"EARTHGRAINS BAKING COMPANIES, INC",,7300 BRIGHTON RD,,,COMMERCE CITY,CO,800221503,UNITED STATES,CO,7,961949278,810939686,3032882675,3032879073,03/07/2002,03/14/2014,Bimbo Bakeries USA  Inc,CO: COLORADO,COMMERCE CITY,CO: COLORADO,USA: UNITED STATES,800221503,CO07,CO07,8920: BAKERY AND CEREAL PRODUCTS,2015,F: COMPETED UNDER SAP,,1,SP1: SIMPLIFIED ACQUISITION,NONE: NO SET ASIDE USED.,N,4000,500000000,N,N,N,N,N,N,N,N,N,N,N,N: No,N,N,N,10/24/2014
Active,3900,"8900: ENERGY, DEPARTMENT OF",00065: WESTERN-CORPORATE SERVICES OFFICE,00065: WESTERN-CORPORATE SERVICES OFFICE,,10/20/2014,10/20/2014,1/16/2015,1/16/2015,,"IGF::OT::IGF N618 50&100 HR INSPECTIION&TRAVEL TO BISMARCK; CENTURY HELICOPTERS, DE-WA0002043.","CENTURY HELICOPTERS, INC.",,2001 AIRWAY AVE,,,FORT COLLINS,CO,805242796,UNITED STATES,CO,2,97670947,97670947,9704846804,9702243899,12/10/2003,10/04/2014,CENTURY HELICOPTERS  INC.,CO: COLORADO,FORT COLLINS,CO: COLORADO,USA: UNITED STATES,805242796,CO02,CO02,4920: AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,2015,F: COMPETED UNDER SAP,,4,SP1: SIMPLIFIED ACQUISITION,SBA: SMALL BUSINESS SET ASIDE - TOTAL,Y,15,3650000,N,N,N,Y,N,N,N,N,N,N,N,X: Not Applicable,Y,X,N,10/20/2014
Active,8016.21,"1500: JUSTICE, DEPARTMENT OF","40606: FLORENCE, ADX","40606: FLORENCE, ADX",,10/22/2014,10/22/2014,10/28/2014,10/28/2014,,FCC FLORENCE PRODUCE ORDER.,"AMERICAN PRODUCE, LLC",,5151 BANNOCK ST STE 3,,,DENVER,CO,802161846,UNITED STATES,CO,1,40759438,40759438,3032910188,3032910219,08/11/2003,05/08/2015,AMERICAN PRODUCE  LLC,CO: COLORADO,DENVER,CO: COLORADO,USA: UNITED STATES,802161846,CO01,CO01,8915: FRUITS AND VEGETABLES,2015,F: COMPETED UNDER SAP,,2,SP1: SIMPLIFIED ACQUISITION,SBA: SMALL BUSINESS SET ASIDE - TOTAL,N,47,18000000,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,X,X,N,10/22/2014
Active,13812.36,"1500: JUSTICE, DEPARTMENT OF",AT001: ATF LOGISTICS AND ACQUISITIONS DIVISION,AT001: ATF LOGISTICS AND ACQUISITIONS DIVISION,,11/17/2014,1/1/2015,12/31/2015,12/31/2017,,"IGF::OT::IGF FOR OTHER FUNCTIONS - ANTENNA SITE RENEWAL - HORSETOOTH MOUNTAIN (FT. COLLINS, CO)",ROBERT STANLEY PROPERTIES,,3115 35TH AVE,,,GREELEY,CO,806349415,UNITED STATES,CO,4,621266696,621266696,9705766192,9703301689,12/12/2006,02/11/2014,ROBERT STANLEY PROPERTIES,CO: COLORADO,GREELEY,CO: COLORADO,USA: UNITED STATES,806346067,CO04,CO04,"W058: LEASE OR RENTAL OF EQUIPMENT- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT",2015,G: NOT COMPETED UNDER SAP,SP2: SAP NON-COMPETITION,1,SP1: SIMPLIFIED ACQUISITION,NONE: NO SET ASIDE USED.,N,1,250000,Y,N,N,Y,N,N,N,N,N,N,N,N: No,N,N,N,11/19/2014
Active,0,"1400: INTERIOR, DEPARTMENT OF THE",00002: CONTRACTING AND GENERAL SERVICES DIV,00002: CONTRACTING AND GENERAL SERVICES DIV,,11/19/2014,11/19/2014,10/20/2014,10/20/2014,,"MOD 1 ADMINISTRATIVE ACTION.  DELL POWEREDGE R720XD - FWS, R2, IRTM","COUNTERTRADE PRODUCTS, INC.",,7585 W 66TH AVE,,,ARVADA,CO,800033969,UNITED STATES,CO,7,144293636,144293636,3034249710,3034218225,10/24/2001,04/09/2011,COUNTERTRADE PRODUCTS  INC.,CO: COLORADO,ARVADA,CO: COLORADO,USA: UNITED STATES,800033969,CO07,CO07,"7021: ADP CENTRAL PROCESSING UNIT (CPU, COMPUTER), DIGITAL",2015,A: FULL AND OPEN COMPETITION,,1,MAFO: SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NONE: NO SET ASIDE USED.,N,48,74000000,N,N,Y,N,N,N,N,N,N,N,N,X: Not Applicable,X,X,N,11/19/2014
Active,4415.73,1800: POSTAL SERVICE,JB000: GSA/PBS/COLORADO SERVICE CENTER DIVISION,HQ000: USPS HEADQUARTERS,,11/6/2014,11/6/2014,9/30/2015,9/30/2015,,"IGF::OT::IGF JANITORIAL&RELATED SERVICES ON SATURDAY'S ONLY AT THE POST OFFICE LOCATED AT THE FT. COLLIN'S FEDERAL BUILDING, 301 S. HOWES ST. FT. COLLINS, COLORADO.","FOOTHILLS GATEWAY, INC.",,301 SKYWAY DR,,,FORT COLLINS,CO,805253911,UNITED STATES,CO,2,76467554,76467554,9702665347,9702662623,07/16/2001,11/16/2012,FOOTHILLS GATEWAY  INC.,CO: COLORADO,FORT COLLINS,CO: COLORADO,USA: UNITED STATES,805212700,CO02,CO02,S201: HOUSEKEEPING- CUSTODIAL JANITORIAL,2015,C: NOT COMPETED,ONE: ONLY ONE SOURCE - OTHER ,1,SSS: ONLY ONE SOURCE,NONE: NO SET ASIDE USED.,N,270,18154676,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,Y,X,Y,11/6/2014
Active,0,4700: GENERAL SERVICES ADMINISTRATION,JA000: GSA/PBS/DENVER FEDERAL CENTER SERVICE DIVISION,JA000: GSA/PBS/DENVER FEDERAL CENTER SERVICE DIVISION,,11/13/2014,10/28/2014,2/5/2015,2/5/2015,,"IGF::OT::IGF  MODIFICATION TO ISSUE NOTICE TO PROCEED AFTER APPROVING BONDS. DFC PAVEMENT REPAIRS, DENVER FEDERAL CENTER, LAKEWOOD, COLORADO","ROCKY MOUNTAIN EXCAVATING, INC.",,651 TOPEKA WAY,,,CASTLE ROCK,CO,801093124,UNITED STATES,CO,4,52737835,52737835,3038410292,3038418664,01/27/2004,03/05/2013,ROCKY MOUNTAIN EXCAVATING  INC.,CO: COLORADO,DENVER,CO: COLORADO,USA: UNITED STATES,802250054,CO07,CO07,Z2LB: REPAIR OR ALTERATION OF HIGHWAYS/ROADS/STREETS/BRIDGES/RAILWAYS,2015,B: NOT AVAILABLE FOR COMPETITION,OTH: AUTHORIZED BY STATUTE,1,SSS: ONLY ONE SOURCE,8AN: 8(A) SOLE SOURCE ,N,70,12000000,Y,N,N,Y,Y,N,N,N,N,N,N,X: Not Applicable,X,Y,N,11/25/2014
Active,10000,"1500: JUSTICE, DEPARTMENT OF",DEADE: DIVISION-DENVER,DEADE: DIVISION-DENVER,,10/28/2014,10/28/2014,5/1/2015,5/1/2015,,IGF::CT::IGF - EXPERT REVIEW OF MEDICAL RECORDS,"ASU HEALTHCARE, LLC",,28007 MEADOWLARK DR,,,GOLDEN,CO,804018308,UNITED STATES,CO,2,81575172,81575172,3033596242,,06/15/2014,07/04/2015,ASU HEALTHCARE  LLC,CO: COLORADO,GOLDEN,CO: COLORADO,USA: UNITED STATES,804018308,CO02,CO02,R424: SUPPORT- PROFESSIONAL: EXPERT WITNESS,2015,C: NOT COMPETED,UNQ: UNIQUE SOURCE ,1,SSS: ONLY ONE SOURCE,NONE: NO SET ASIDE USED.,N,0,284069,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,X,X,N,10/29/2014
